[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16660.0625
[*] Trial 1: 10754.5
[*] Trial 2: 10750.875
[*] Trial 3: 10750.875
[*] Trial 4: 9720.4375
[*] Trial 5: 7696.125
[*] Trial 6: 7696.125
[*] Trial 7: 7696.125
[*] Trial 8: 7696.125
[*] Trial 9: 7695.125
[*] Trial 10: 7695.125
[*] Trial 11: 7695.125
[*] Trial 12: 7695.125
[*] Trial 13: 7695.125
[*] Trial 14: 7695.125
[*] Trial 15: 7691.1875
[*] Trial 16: 7691.1875
[*] Trial 17: 7691.1875
[*] Trial 18: 7689.5625
[*] Trial 19: 7689.5625
[*] Trial 20: 6690.875
[*] Trial 21: 6668.25
[*] Trial 22: 6668.25
[*] Trial 23: 6668.25
[*] Trial 24: 5679.125
[*] Trial 25: 5679.125
[*] Trial 26: 5679.125
[*] Trial 27: 5679.125
[*] Trial 28: 5676.875
[*] Trial 29: 4675.25
[*] Trial 30: 4675.25
[*] Trial 31: 4675.25
[*] Trial 32: 4675.25
[*] Trial 33: 4675.25
[*] Trial 34: 4675.1875
[*] Trial 35: 4672.625
[*] Trial 36: 3671.875
[*] Trial 37: 3669.375
[*] Trial 38: 2667.75
[*] Trial 39: 2667.75
[*] Trial 40: 2664.9375
[*] Trial 41: 2663.8125
[*] Trial 42: 2663.75
[*] Trial 43: 2663.75
[*] Trial 44: 2663.625
[*] Trial 45: 2663.375
[*] Trial 46: 2663.375
[*] Trial 47: 2662.4375
[*] Trial 48: 2661.625
[*] Trial 49: 2661.625
[*] min objective value:
2661.625
