[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 23667.0625
[*] Trial 1: 13675.3125
[*] Trial 2: 13675.3125
[*] Trial 3: 13675.3125
[*] Trial 4: 13675.3125
[*] Trial 5: 13675.3125
[*] Trial 6: 13675.3125
[*] Trial 7: 13675.3125
[*] Trial 8: 13675.3125
[*] Trial 9: 13675.3125
[*] Trial 10: 13665.1875
[*] Trial 11: 7700.4375
[*] Trial 12: 7700.4375
[*] Trial 13: 7700.4375
[*] Trial 14: 7700.4375
[*] Trial 15: 7700.4375
[*] Trial 16: 7700.4375
[*] Trial 17: 7700.4375
[*] Trial 18: 5688.6875
[*] Trial 19: 5688.6875
[*] Trial 20: 5677.625
[*] Trial 21: 5677.625
[*] Trial 22: 5677.625
[*] Trial 23: 5677.625
[*] Trial 24: 5677.625
[*] Trial 25: 4669.125
[*] Trial 26: 4669.125
[*] Trial 27: 4669.125
[*] Trial 28: 4669.125
[*] Trial 29: 4669.125
[*] Trial 30: 4669.125
[*] Trial 31: 4669.125
[*] Trial 32: 4669.125
[*] Trial 33: 4669.125
[*] Trial 34: 2661.5
[*] Trial 35: 2661.5
[*] Trial 36: 2661.5
[*] Trial 37: 2661.5
[*] Trial 38: 2661.5
[*] Trial 39: 2661.5
[*] Trial 40: 2661.5
[*] Trial 41: 2661.5
[*] Trial 42: 2661.5
[*] Trial 43: 2661.5
[*] Trial 44: 2661.5
[*] Trial 45: 1671.0
[*] Trial 46: 1671.0
[*] Trial 47: 1671.0
[*] Trial 48: 1671.0
[*] Trial 49: 1671.0
[*] min objective value:
1671.0
