[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 22665.875
[*] Trial 1: 22655.8125
[*] Trial 2: 22655.8125
[*] Trial 3: 22655.8125
[*] Trial 4: 22655.8125
[*] Trial 5: 14670.375
[*] Trial 6: 14670.375
[*] Trial 7: 14670.375
[*] Trial 8: 14670.375
[*] Trial 9: 14670.375
[*] Trial 10: 14670.375
[*] Trial 11: 14670.375
[*] Trial 12: 14670.375
[*] Trial 13: 14670.375
[*] Trial 14: 8704.8125
[*] Trial 15: 8704.8125
[*] Trial 16: 8704.8125
[*] Trial 17: 4692.0
[*] Trial 18: 4692.0
[*] Trial 19: 4676.0625
[*] Trial 20: 4676.0625
[*] Trial 21: 3679.125
[*] Trial 22: 3675.8125
[*] Trial 23: 3662.75
[*] Trial 24: 3660.625
[*] Trial 25: 3660.625
[*] Trial 26: 3660.625
[*] Trial 27: 3659.625
[*] Trial 28: 3659.0
[*] Trial 29: 3658.5625
[*] Trial 30: 3658.5625
[*] Trial 31: 3657.625
[*] Trial 32: 3657.625
[*] Trial 33: 3657.625
[*] Trial 34: 3657.625
[*] Trial 35: 3657.625
[*] Trial 36: 3657.625
[*] Trial 37: 3657.625
[*] Trial 38: 3657.625
[*] Trial 39: 3657.625
[*] Trial 40: 3657.625
[*] Trial 41: 3657.625
[*] Trial 42: 3657.625
[*] Trial 43: 3657.625
[*] Trial 44: 3657.625
[*] Trial 45: 3657.625
[*] Trial 46: 3657.625
[*] Trial 47: 3657.625
[*] Trial 48: 3657.625
[*] Trial 49: 3657.625
[*] min objective value:
3657.625
