[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 23666.625
[*] Trial 1: 23666.625
[*] Trial 2: 7674.625
[*] Trial 3: 7672.625
[*] Trial 4: 5664.625
[*] Trial 5: 4665.4375
[*] Trial 6: 3664.5
[*] Trial 7: 2665.4375
[*] Trial 8: 1663.75
[*] Trial 9: 1659.0
[*] Trial 10: 1657.125
[*] Trial 11: 1654.8125
[*] Trial 12: 1654.8125
[*] Trial 13: 1654.8125
[*] Trial 14: 1654.8125
[*] Trial 15: 1652.25
[*] Trial 16: 1652.1875
[*] Trial 17: 1652.1875
[*] Trial 18: 1652.0
[*] Trial 19: 1649.9375
[*] Trial 20: 1649.75
[*] Trial 21: 1645.5
[*] Trial 22: 1645.5
[*] Trial 23: 1645.5
[*] Trial 24: 1645.5
[*] Trial 25: 1645.3125
[*] Trial 26: 1645.3125
[*] Trial 27: 1644.75
[*] Trial 28: 1644.75
[*] Trial 29: 1644.75
[*] Trial 30: 640.3125
[*] Trial 31: 640.3125
[*] Trial 32: 639.8125
[*] Trial 33: 639.25
[*] Trial 34: 638.9375
[*] Trial 35: 638.0625
[*] Trial 36: 637.625
[*] Trial 37: 637.5625
[*] Trial 38: 635.125
[*] Trial 39: 635.125
[*] Trial 40: 635.125
[*] Trial 41: 634.3125
[*] Trial 42: 634.3125
[*] Trial 43: 634.3125
[*] Trial 44: 633.875
[*] Trial 45: 633.875
[*] Trial 46: 629.375
[*] Trial 47: 629.375
[*] Trial 48: 629.375
[*] Trial 49: 629.375
[*] min objective value:
629.375
